C103      100nF          C_0805_2012Metric                -314.1980   104.2670   90.0000  bottom
D1        SOD-123        D_SOD-123                          23.7490    93.3450   90.0000  bottom
D2        SOD-123        D_SOD-123                          23.7490    74.2950   90.0000  bottom
D3        SOD-123        D_SOD-123                          23.7490    55.3720   90.0000  bottom
D4        SOD-123        D_SOD-123                          23.7490    36.1950   90.0000  bottom
D5        SOD-123        D_SOD-123                          23.7807    17.1133   90.0000  bottom
D6        SOD-123        D_SOD-123                          23.7807    -1.9367   90.0000  bottom
D7        SOD-123        D_SOD-123                           4.6990    93.3450   90.0000  bottom
D8        SOD-123        D_SOD-123                           4.6990    74.2950   90.0000  bottom
D9        SOD-123        D_SOD-123                           4.6990    55.3720   90.0000  bottom
D10       SOD-123        D_SOD-123                           4.6990    36.1950   90.0000  bottom
D11       SOD-123        D_SOD-123                           4.7307    17.1133   90.0000  bottom
D12       SOD-123        D_SOD-123                           4.7307    -1.9367   90.0000  bottom
D13       SOD-123        D_SOD-123                         -14.3510    93.3450   90.0000  bottom
D14       SOD-123        D_SOD-123                         -14.3510    74.2950   90.0000  bottom
D15       SOD-123        D_SOD-123                         -19.1453    -1.9367   90.0000  bottom
D16       SOD-123        D_SOD-123                         -19.1770    55.3720   90.0000  bottom
D17       SOD-123        D_SOD-123                         -21.4630    36.1950   90.0000  bottom
D18       SOD-123        D_SOD-123                         -26.2572    17.1133   90.0000  bottom
D19       SOD-123        D_SOD-123                         -33.4010    93.3450   90.0000  bottom
D20       SOD-123        D_SOD-123                         -33.4010    74.2950   90.0000  bottom
D21       SOD-123        D_SOD-123                         -43.0212    -1.9367   90.0000  bottom
D22       SOD-123        D_SOD-123                         -42.9260    55.3720   90.0000  bottom
D23       SOD-123        D_SOD-123                         -47.6250    36.1950   90.0000  bottom
D24       SOD-123        D_SOD-123                         -57.2452    17.1133   90.0000  bottom
D25       SOD-123        D_SOD-123                         -52.4510    93.3450   90.0000  bottom
D26       SOD-123        D_SOD-123                         -52.4510    74.2950   90.0000  bottom
D27       SOD-123        D_SOD-123                         -61.9760    55.3720   90.0000  bottom
D28       SOD-123        D_SOD-123                         -66.8972    -1.9367   90.0000  bottom
D29       SOD-123        D_SOD-123                         -66.8020    36.1950   90.0000  bottom
D30       SOD-123        D_SOD-123                         -76.2952    17.1133   90.0000  bottom
D31       SOD-123        D_SOD-123                         -71.5010    93.3450   90.0000  bottom
D32       SOD-123        D_SOD-123                         -71.5010    74.2950   90.0000  bottom
D33       SOD-123        D_SOD-123                         -81.0260    55.3720   90.0000  bottom
D34       SOD-123        D_SOD-123                         -85.8520    36.1950   90.0000  bottom
D35       SOD-123        D_SOD-123                         -95.3452    17.1133   90.0000  bottom
D36       SOD-123        D_SOD-123                         -90.5510    93.3450   90.0000  bottom
D37       SOD-123        D_SOD-123                         -90.5510    74.2950   90.0000  bottom
D38       SOD-123        D_SOD-123                        -100.0760    55.3720   90.0000  bottom
D39       SOD-123        D_SOD-123                        -104.9020    36.1950   90.0000  bottom
D40       SOD-123        D_SOD-123                        -114.3952    17.1133   90.0000  bottom
D41       SOD-123        D_SOD-123                        -109.6010    93.3450   90.0000  bottom
D42       SOD-123        D_SOD-123                        -109.6010    74.2950   90.0000  bottom
D43       SOD-123        D_SOD-123                        -119.1260    55.3720   90.0000  bottom
D44       SOD-123        D_SOD-123                        -123.9520    36.1950   90.0000  bottom
D45       SOD-123        D_SOD-123                        -133.3817    17.1133   90.0000  bottom
D46       SOD-123        D_SOD-123                        -128.6510    93.3450   90.0000  bottom
D47       SOD-123        D_SOD-123                        -128.6510    74.2950   90.0000  bottom
D48       SOD-123        D_SOD-123                        -138.1760    55.3720   90.0000  bottom
D49       SOD-123        D_SOD-123                        -140.4620    -1.9050   90.0000  bottom
D50       SOD-123        D_SOD-123                        -143.0020    36.1950   90.0000  bottom
D51       SOD-123        D_SOD-123                        -152.4952    17.1133   90.0000  bottom
D52       SOD-123        D_SOD-123                        -147.7010    93.3450   90.0000  bottom
D53       SOD-123        D_SOD-123                        -147.7010    74.2950   90.0000  bottom
D54       SOD-123        D_SOD-123                        -157.2260    55.3720   90.0000  bottom
D55       SOD-123        D_SOD-123                        -162.0520    36.1950   90.0000  bottom
D56       SOD-123        D_SOD-123                        -171.4818    17.1133   90.0000  bottom
D57       SOD-123        D_SOD-123                        -166.7510    93.3450   90.0000  bottom
D58       SOD-123        D_SOD-123                        -166.7510    74.2950   90.0000  bottom
D59       SOD-123        D_SOD-123                        -176.2760    55.2450   90.0000  bottom
D60       SOD-123        D_SOD-123                        -181.1020    36.1950   90.0000  bottom
D61       SOD-123        D_SOD-123                        -190.5317    17.1133   90.0000  bottom
D62       SOD-123        D_SOD-123                        -185.8010    93.3450   90.0000  bottom
D63       SOD-123        D_SOD-123                        -185.8010    74.2950   90.0000  bottom
D64       SOD-123        D_SOD-123                        -195.3260    55.2450   90.0000  bottom
D65       SOD-123        D_SOD-123                        -200.1520    36.1950   90.0000  bottom
D66       SOD-123        D_SOD-123                        -209.5817    17.1133   90.0000  bottom
D67       SOD-123        D_SOD-123                        -209.5182    -1.9367   90.0000  bottom
D68       SOD-123        D_SOD-123                        -204.8510    93.3450   90.0000  bottom
D69       SOD-123        D_SOD-123                        -204.8510    74.2950   90.0000  bottom
D70       SOD-123        D_SOD-123                        -214.3760    55.2450   90.0000  bottom
D71       SOD-123        D_SOD-123                        -219.2020    36.1950   90.0000  bottom
D72       SOD-123        D_SOD-123                        -228.6952    17.1133   90.0000  bottom
D73       SOD-123        D_SOD-123                        -223.9010    93.3450   90.0000  bottom
D74       SOD-123        D_SOD-123                        -223.9010    74.2950   90.0000  bottom
D75       SOD-123        D_SOD-123                        -233.4260    55.2450   90.0000  bottom
D76       SOD-123        D_SOD-123                        -238.0932    -1.9367   90.0000  bottom
D77       SOD-123        D_SOD-123                        -238.2520    36.1950   90.0000  bottom
D78       SOD-123        D_SOD-123                        -242.9510    93.3450   90.0000  bottom
D79       SOD-123        D_SOD-123                        -242.9510    74.2950   90.0000  bottom
D80       SOD-123        D_SOD-123                        -252.4760    55.2450   90.0000  bottom
D81       SOD-123        D_SOD-123                        -254.8572    17.1133   90.0000  bottom
